rank,name,count,,
605,ROBERSON,"56,180",,
606,LARSEN,"55,960",,
607,CONLEY,"55,917",,
608,DAVENPORT,"55,895",,
609,COPELAND,"55,850",,
610,MASSEY,"55,595",,
611,LAM,"55,554",,
612,HUFF,"55,484",,
613,ROCHA,"55,251",,
614,CAMERON,"55,240",,
615,JEFFERSON,"55,179",,
616,HOOD,"55,174",,
617,MONROE,"55,136",,
618,ANTHONY,"55,114",,
619,PITTMAN,"55,021",,
620,HUYNH,"54,996",,
621,RANDALL,"54,764",,
622,SINGLETON,"54,621",,
623,KIRK,"54,394",,
624,COMBS,"54,257",,
625,MATHIS,"54,217",,
626,CHRISTIAN,"54,198",,
627,SKINNER,"54,046",,
628,BRADFORD,"54,015",,
629,RICHARD,"53,893",,
630,GALVAN,"53,822",,
631,WALL,"53,794",,
632,BOONE,"53,792",,
633,KIRBY,"53,767",,
634,WILKINSON,"53,739",,
635,BRIDGES,"53,682",,
636,BRUCE,"53,419",,
637,ATKINSON,"53,376",,
638,VELEZ,"53,265",,
639,MEZA,"53,230",,
640,ROY,"53,159",,
641,VINCENT,"53,095",,
642,YORK,"53,059",,
643,HODGE,"52,920",,
644,VILLA,"52,817",,
645,ABBOTT,"52,739",,
646,ALLISON,"52,701",,
647,TAPIA,"52,651",,
648,GATES,"52,569",,
649,CHASE,"52,481",,
650,SOSA,"52,457",,
651,SWEENEY,"52,410",,
652,FARRELL,"52,321",,
653,WYATT,"52,211",,
654,DALTON,"52,184",,
655,HORN,"52,138",,
656,BARRON,"52,070",,
657,PHELPS,"52,044",,
658,YU,"52,035",,
659,DICKERSON,"51,889",,
660,HEATH,"51,877",,
661,FOLEY,"51,865",,
662,ATKINS,"51,671",,
663,MATHEWS,"51,592",,
664,BONILLA,"51,475",,
665,ACEVEDO,"51,351",,
666,BENITEZ,"51,288",,
667,ZAVALA,"51,153",,
668,HENSLEY,"51,081",,
669,GLENN,"51,043",,
670,CISNEROS,"50,920",,
671,HARRELL,"50,837",,
672,SHIELDS,"50,832",,
673,RUBIO,"50,788",,
674,HUFFMAN,"50,786",,
674,CHOI,"50,786",,
676,BOYER,"50,742",,
677,GARRISON,"50,686",,
678,ARROYO,"50,614",,
679,BOND,"50,610",,
680,KANE,"50,584",,
681,HANCOCK,"50,558",,
682,CALLAHAN,"50,524",,
683,DILLON,"50,465",,
684,CLINE,"50,258",,
685,WIGGINS,"50,247",,
686,GRIMES,"50,245",,
687,ARELLANO,"50,104",,
688,MELTON,"50,069",,
689,ONEILL,"50,028",,
690,SAVAGE,"49,914",,
691,HO,"49,817",,
692,BELTRAN,"49,776",,
693,PITTS,"49,740",,
694,PARRISH,"49,733",,
695,PONCE,"49,549",,
