rank,name,count,,
928,MULLEN,"37,502",,
929,XIONG,"37,499",,
930,HAYDEN,"37,451",,
931,CANO,"37,368",,
932,LEVY,"37,228",,
933,HUBER,"37,170",,
934,RICHMOND,"37,053",,
935,MOYER,"37,050",,
936,LIM,"37,021",,
937,FRYE,"36,973",,
938,SHEPPARD,"36,960",,
939,MCCARTY,"36,944",,
940,AVALOS,"36,922",,
941,BOOKER,"36,840",,
942,WALLER,"36,805",,
943,PARRA,"36,765",,
944,WOODWARD,"36,764",,
945,JARAMILLO,"36,755",,
946,KRUEGER,"36,743",,
947,RASMUSSEN,"36,636",,
948,BRANDT,"36,613",,
949,PERALTA,"36,585",,
950,DONALDSON,"36,558",,
951,STUART,"36,540",,
952,FAULKNER,"36,466",,
953,MAYNARD,"36,460",,
954,GALINDO,"36,429",,
955,COFFEY,"36,423",,
956,ESTES,"36,318",,
957,SANFORD,"36,312",,
958,BURCH,"36,269",,
959,MADDOX,"36,250",,
960,VO,"36,236",,
961,OCONNELL,"36,194",,
962,VU,"36,179",,
963,ANDERSEN,"36,150",,
964,SPENCE,"36,129",,
965,MCPHERSON,"36,125",,
966,CHURCH,"36,072",,
967,SCHMITT,"36,043",,
968,STANTON,"35,997",,
969,LEAL,"35,958",,
970,CHERRY,"35,877",,
971,COMPTON,"35,830",,
972,DUDLEY,"35,781",,
973,SIERRA,"35,770",,
974,POLLARD,"35,749",,
975,ALFARO,"35,725",,
976,HESTER,"35,642",,
977,PROCTOR,"35,636",,
978,LU,"35,628",,
979,HINTON,"35,606",,
980,NOVAK,"35,461",,
981,GOOD,"35,446",,
982,MADDEN,"35,438",,
983,MCCANN,"35,408",,
983,TERRELL,"35,408",,
985,JARVIS,"35,350",,
986,DICKSON,"35,312",,
987,REYNA,"35,291",,
988,CANTRELL,"35,266",,
989,MAYO,"35,228",,
990,BRANCH,"35,225",,
991,HENDRIX,"35,194",,
992,ROLLINS,"35,132",,
993,ROWLAND,"35,121",,
994,WHITNEY,"35,118",,
995,DUKE,"35,053",,
996,ODOM,"35,020",,
997,DAUGHERTY,"34,987",,
998,TRAVIS,"34,985",,
999,TANG,"34,961",,
1000,ARCHER,"34,949",,
